cell	devTime	raw_annotation	pred_annotation	sub_pred_annotation	prediction_score_max	pred_psdt	proj_UMAP_1	proj_UMAP_2
E3.48.3398	E3	8 cell	8 cell	8 cell	0.999850699271226	NA	-3.41362547874451	-9.45664215087891
E3.48.3400	E3	8 cell	8 cell	8 cell	0.999909982807112	NA	-3.5918276309967	-9.50783920288086
E3.48.3401	E3	8 cell	8 cell	8 cell	0.999711597400107	NA	-3.53792715072632	-9.79017734527588
E3.48.3402	E3	8 cell	8 cell	8 cell	0.999931003355128	NA	-3.41666579246521	-9.61953353881836
E3.49.3403	E3	8 cell	8 cell	8 cell	0.999573385251484	NA	-3.6689248085022	-9.56774997711182
E3.49.3406	E3	8 cell	8 cell	8 cell	0.99991562203516	NA	-3.47369503974915	-9.46399784088135
E3.49.3407	E3	8 cell	8 cell	8 cell	0.999803388516121	NA	-3.39636611938477	-9.46049308776855
E3.49.3408	E3	8 cell	8 cell	8 cell	0.999915869395428	NA	-3.42865371704102	-9.58626079559326
E3.49.3409	E3	8 cell	8 cell	8 cell	0.999856185432926	NA	-3.48920726776123	-9.51298713684082
E3.49.3410	E3	8 cell	8 cell	8 cell	0.999940519673689	NA	-3.41316223144531	-9.57760906219482
E3.49.3411	E3	8 cell	8 cell	8 cell	0.999823912539661	NA	-3.47192120552063	-9.47868156433105
E3.50.3412	E3	8 cell	8 cell	8 cell	0.995909100100433	NA	-3.71713757514954	-10.7177743911743
E3.50.3413	E3	8 cell	8 cell	8 cell	0.991990225827104	NA	-3.59491848945618	-10.3019599914551
E3.50.3416	E3	8 cell	8 cell	8 cell	0.997331587213205	NA	-3.60331058502197	-10.2513856887817
E3.50.3417	E3	8 cell	8 cell	8 cell	0.992780245367681	NA	-3.62074899673462	-10.3229570388794
