cell	devTime	raw_annotation	pred_annotation	sub_pred_annotation	prediction_score_max	pred_psdt	proj_UMAP_1	proj_UMAP_2
sc7786526	CS7	AdvMes	AdvMes	AdvMes	0.999872375209831	NA	-5.80912828445435	5.42951107025146
sc7786153	CS7	Epiblast	Epiblast	Late_EPI	0.999660433012451	16.4731430885718	-5.98291540145874	-1.77397513389587
sc7786651	CS7	AdvMes	AdvMes	AdvMes	0.996986342329851	NA	-5.56303119659424	5.14405632019043
sc7785543	CS7	ExE_Mes	ExE_Mes	ExE_Mes	0.999417882309224	NA	-7.3685450553894	8.23000431060791
sc7786619	CS7	YSE	YSE	YSE	0.904816850924412	NA	0.714946031570435	2.31907773017883
sc7785812	CS7	Axial Mes	Axial Mes	Axial Mes	0.999669240511946	NA	-2.16816020011902	2.30352425575256
sc7785354	CS7	Erythroblasts	Erythroblasts	Erythroblasts	0.994777093685761	NA	-12.5770683288574	4.41202831268311
sc7785581	CS7	AdvMes	Ambiguous	Ambiguous	0.492246319197373	NA	-7.20655107498169	5.85805034637451
sc7788124	CS7	Mesoderm	Mesoderm	Mesoderm	0.964290603422483	NA	-6.54197025299072	2.84690952301025
sc7788075	CS7	Mesoderm	Mesoderm	Mesoderm	0.999425433563845	NA	-7.20290184020996	3.04375028610229
sc7786257	CS7	Mesoderm	Mesoderm	Mesoderm	0.999060143337872	NA	-7.22201347351074	3.45905828475952
sc7785983	CS7	YSE	YSE	YSE	0.976106424631465	NA	0.724789381027222	2.24198937416077
sc7785693	CS7	Mesoderm	Mesoderm	Mesoderm	0.673563419698815	NA	-5.46990776062012	6.15038061141968
sc7785724	CS7	Epiblast	Epiblast	Late_EPI	0.997802017987135	15.6493590930213	-4.59701156616211	-1.09021878242493
sc7788163	CS7	PriS	PriS	PriS	0.861823832998122	NA	-4.91047954559326	0.184577435255051
sc7786508	CS7	Late_Amnion	Epiblast	Late_EPI	0.912137602820005	15.5524185122806	-4.29959774017334	-0.534117460250854
sc7788258	CS7	Mesoderm	Mesoderm	Mesoderm	0.998117316862087	NA	-5.08707714080811	4.22155904769897
sc7786765	CS7	ExE_Mes	ExE_Mes	ExE_Mes	0.999900975760749	NA	-7.40111398696899	6.48594284057617
sc7786183	CS7	PriS	PriS	PriS	0.988547109067904	NA	-7.76633834838867	0.987287759780884
sc7788103	CS7	Epiblast	Epiblast	Late_EPI	0.751853546246214	16.407416422077	-5.41996908187866	-0.717156052589417
sc7785773	CS7	Late_Amnion	ExE_Mes	ExE_Mes	0.908537003694168	NA	-6.94027137756348	5.91686058044434
sc7786174	CS7	Mesoderm	Mesoderm	Mesoderm	0.906034235853104	NA	-4.777991771698	3.122971534729
